ack_ewma(ms),classes,freq,,,
93.5432,17.96,7,,,
38.6173,17.98,5,,,
16.6469,18,10,,,
7.25876,18.02,5,,,
19.1035,18.04,10,,,
8.8414,18.06,5,,,
4.73656,18.08,4,,,
2.49462,18.1,6,,,
2.79785,18.12,8,,,
2.31914,18.14,3,,,
2.12766,18.16,2,,,
1.45106,18.18,3,,,
11.9804,18.2,4,,,
5.99217,18.22,2,,,
3.59687,18.24,7,,,
2.63875,18.26,5,,,
2.2555,18.28,3,,,
2.1022,18.3,8,,,
2.04088,18.32,6,,,
1.41635,18.34,3,,,
1.16654,18.36,4,,,
1.66662,18.38,3,,,
1.86665,18.4,4,,,
1.94666,18.42,6,,,
1.97866,18.44,5,,,
1.75978,18.46,4,,,
1.30391,18.48,1,,,
2.17418,18.5,1,,,
1.46967,18.52,8,,,
2.87515,18.54,6,,,
2.14002,18.56,5,,,
1.45601,18.58,5,,,
5.9824,18.6,4,,,
4.19296,18.62,5,,,
72.4772,18.64,8,,,
30.1909,18.66,2,,,
13.2763,18.68,7,,,
10.7105,18.7,7,,,
4.88422,18.72,7,,,
7.95369,18.74,2,,,
93.7815,18.76,4,,,
38.7126,18.78,6,,,
16.685,18.8,2,,,
7.87401,18.82,1,,,
20.5496,18.84,3,,,
9.41984,18.86,3,,,
4.96794,18.88,2,,,
3.18717,18.9,2,,,
1.87487,18.92,1,,,
1.94995,18.94,5,,,
1.37998,18.96,4,,,
1.75199,18.98,2,,,
13.9008,19,5,,,
6.76032,19.02,5,,,
3.90413,19.04,6,,,
2.76165,19.06,7,,,
2.30466,19.08,4,,,
2.12186,19.1,7,,,
1.44875,19.12,3,,,
1.7795,19.14,5,,,
1.9118,19.16,5,,,
1.96472,19.18,5,,,
1.98589,19.2,4,,,
1.97849,19.22,6,,,
1.39139,19.24,3,,,
3.21436,19.26,1,,,
3.71109,19.28,6,,,
74.0844,19.3,5,,,
30.8338,19.32,6,,,
13.5335,19.34,5,,,
13.8134,19.36,5,,,
6.72536,19.38,7,,,
94.4901,19.4,4,,,
38.9961,19.42,7,,,
16.7984,19.44,3,,,
7.91937,19.46,6,,,
22.9677,19.48,6,,,
10.3871,19.5,5,,,
5.35484,19.52,2,,,
3.34194,19.54,6,,,
2.53677,19.56,5,,,
2.21471,19.58,7,,,
1.48588,19.6,3,,,
1.79435,19.62,4,,,
12.1177,19.64,4,,,
6.0471,19.66,5,,,
3.61884,19.68,9,,,
2.64754,19.7,2,,,
2.25901,19.72,5,,,
1.50361,19.74,5,,,
1.80144,19.76,4,,,
1.92058,19.78,5,,,
1.96823,19.8,5,,,
1.98729,19.82,1,,,
1.99492,19.84,9,,,
1.98464,19.86,8,,,
1.39385,19.88,3,,,
1.75754,19.9,2,,,
7.66301,19.92,1,,,
1.58337,19.94,6,,,
4.23335,19.96,3,,,
71.8933,19.98,2,,,
29.9573,20,6,,,
12.5829,20.02,4,,,
10.4332,20.04,8,,,
4.77327,20.06,3,,,
96.1093,20.08,5,,,
39.6437,20.1,8,,,
17.0575,20.12,5,,,
7.42299,20.14,7,,,
25.7692,20.16,5,,,
